created_at,compensated_tds_value
2023-05-27 11:59:04+00:00,237.52
2023-05-27 11:59:04+00:00,237.52
2023-05-27 12:00:29+00:00,237.6
2023-05-27 12:00:29+00:00,237.6
2023-05-27 12:00:29+00:00,237.6
2023-05-27 12:01:59+00:00,237.57
2023-05-27 12:01:59+00:00,237.57
2023-05-27 12:01:59+00:00,237.57
2023-05-27 12:03:35+00:00,237.58
2023-05-27 12:03:35+00:00,237.58
2023-05-27 12:03:35+00:00,237.58
2023-05-27 12:03:35+00:00,237.58
2023-05-27 12:03:35+00:00,237.58
2023-05-27 12:05:17+00:00,237.64
2023-05-27 12:05:17+00:00,237.64
2023-05-27 12:06:42+00:00,237.55
2023-05-27 12:06:42+00:00,237.55
2023-05-27 12:06:42+00:00,237.55
2023-05-27 12:06:42+00:00,237.55
2023-05-27 12:08:36+00:00,237.54
2023-05-27 12:08:36+00:00,237.54
2023-05-27 12:10:37+00:00,237.62
2023-05-27 12:10:37+00:00,237.62
2023-05-27 12:12:44+00:00,237.63
2023-05-27 12:12:44+00:00,237.63
2023-05-27 12:12:44+00:00,237.63
2023-05-27 12:12:44+00:00,237.63
2023-05-27 12:12:44+00:00,237.63
2023-05-27 12:14:58+00:00,237.59
2023-05-27 12:14:58+00:00,237.59
2023-05-27 12:17:18+00:00,237.51
2023-05-27 12:17:18+00:00,237.51
2023-05-27 12:17:18+00:00,237.51
2023-05-27 12:17:18+00:00,237.51
2023-05-27 12:19:42+00:00,237.53
2023-05-27 12:22:19+00:00,237.56
2023-05-27 12:22:19+00:00,237.56
2023-05-27 12:22:19+00:00,237.56
2023-05-27 12:24:55+00:00,237.6
2023-05-27 12:24:55+00:00,237.6
2023-05-27 12:27:41+00:00,237.53
2023-05-27 12:27:41+00:00,237.53
2023-05-27 12:27:41+00:00,237.53
2023-05-27 12:30:37+00:00,237.47
2023-05-27 12:30:37+00:00,237.47
2023-05-27 12:33:32+00:00,237.59
2023-05-27 12:33:32+00:00,237.59
2023-05-27 12:33:32+00:00,237.59
2023-05-27 12:36:30+00:00,237.59
2023-05-27 12:36:30+00:00,237.59
2023-05-27 12:36:30+00:00,237.59
2023-05-27 12:36:30+00:00,237.59
2023-05-27 12:39:41+00:00,237.61
2023-05-27 12:39:41+00:00,237.61
2023-05-27 12:42:55+00:00,237.47
2023-05-27 12:46:15+00:00,237.56
2023-05-27 12:46:15+00:00,237.56
2023-05-27 12:46:15+00:00,237.56
2023-05-27 12:46:15+00:00,237.56
